DATE,actor,region_location,Total,Lvl1_agree,Lvl1_disagree,Lvl1_Perc,Lvl2_agree,Lvl2_disagree,Lvl2_Perc,Lvl3_agree,Lvl3_disagree,Lvl3_Perc,Lvl4_agree,Lvl4_disagree,Lvl4_Perc
1/24/20,actor 2,region 2,13,13,0,1,13,0,1,13,0,1,9,4,0.69
1/24/20,actor 3,region 2,23,22,1,0.96,23,0,1,23,0,1,21,2,0.91
1/24/20,actor 6,region 2,5,5,0,1,5,0,1,5,0,1,3,2,0.6
1/24/20,actor 8,region 2,13,13,0,1,13,0,1,13,0,1,11,2,0.85
1/24/20,actor 9,region 2,13,12,1,0.92,13,0,1,13,0,1,9,4,0.69
1/24/20,actor 10,region 2,31,31,0,1,31,0,1,30,1,0.97,23,7,0.77
1/27/20,actor 1,region 2,10,9,1,0.9,10,0,1,9,1,0.9,5,5,0.5
1/27/20,actor 7,region 2,6,6,0,1,6,0,1,6,0,1,6,0,1
1/27/20,actor 9,region 2,2,2,0,1,2,0,1,2,0,1,1,1,0.5
1/28/20,actor 1,region 2,13,13,0,1,13,0,1,13,0,1,11,2,0.85
1/28/20,actor 2,region 2,3,3,0,1,3,0,1,2,1,0.67,1,2,0.33
1/28/20,actor 3,region 2,12,12,0,1,12,0,1,12,0,1,12,0,1
1/28/20,actor 4,region 2,1,1,0,1,1,0,1,1,0,1,0,1,0
1/28/20,actor 5,region 2,2,2,0,1,2,0,1,2,0,1,2,0,1
1/28/20,actor 6,region 2,8,8,0,1,8,0,1,8,0,1,5,3,0.63
1/28/20,actor 7,region 2,22,21,1,0.95,22,0,1,20,2,0.91,13,8,0.62
1/28/20,actor 8,region 2,5,5,0,1,5,0,1,5,0,1,3,2,0.6
1/28/20,actor 10,region 2,5,5,0,1,5,0,1,5,0,1,4,0,1
1/29/20,actor 1,region 2,11,11,0,1,11,0,1,11,0,1,9,2,0.82
1/29/20,actor 2,region 2,11,10,1,0.91,11,0,1,10,1,0.91,7,4,0.64
1/29/20,actor 3,region 2,18,17,1,0.94,18,0,1,17,1,0.94,16,2,0.89
1/29/20,actor 4,region 2,1,0,1,0,1,0,1,1,0,1,1,0,1
1/29/20,actor 5,region 2,9,9,0,1,9,0,1,5,4,0.56,5,0,1
1/29/20,actor 7,region 2,3,3,0,1,3,0,1,3,0,1,3,0,1
1/29/20,actor 8,region 2,18,18,0,1,18,0,1,18,0,1,12,6,0.67
1/29/20,actor 9,region 2,7,5,2,0.71,7,0,1,6,1,0.86,5,1,0.83
1/29/20,actor 10,region 2,5,5,0,1,5,0,1,5,0,1,4,1,0.8
1/30/20,actor 3,region 2,2,2,0,1,2,0,1,2,0,1,2,0,1
1/30/20,actor 5,region 2,1,1,0,1,1,0,1,1,0,1,0,1,0
1/30/20,actor 6,region 2,1,1,0,1,1,0,1,1,0,1,0,1,0
1/30/20,actor 10,region 2,2,2,0,1,2,0,1,2,0,1,1,1,0.5
1/31/20,actor 1,region 2,4,4,0,1,4,0,1,3,1,0.75,2,2,0.5
